"species","p_values","stress","Significance"
"Malcomia_maritima",0.00935538790457613,"SA-Cntrl","**"
"Malcomia_maritima",0.544299112025269,"MeJA-Cntrl","NS"
"Malcomia_maritima",0.113634670952939,"SA-MeJA","NS"
"Lepidium_ruderale",0.0437921805434002,"SA-MeJA","*"
"Lepidium_ruderale",0.127047020356964,"SA-Cntrl","NS"
"Lepidium_ruderale",0.896799991944874,"MeJA-Cntrl","NS"
"Berteroa_incana",0.0329298728405125,"SA-Cntrl","*"
"Berteroa_incana",0.999911857291169,"SA-MeJA","NS"
"Berteroa_incana",0.0306804367761687,"MeJA-Cntrl","*"
