,Adult.Female.Mass.(g),Male.Neonatal.Mass.(g),Female.Neonatal.Mass.(g),Litter.Size
Antilocapra_americana,50586,3832,3908,1.8
Oryx_leucoryx,87700,6840,6490,1
Saiga_tatarica,27680,3300,3100,1.8
Ovis_canadensis,58000,4430,4010,1
Ovis_aries,23690,2000,1800,1.2
Rangifer_tarandus,73500,5600,5100,1
Alces_alces,432000,14000,13300,1.6
Capreolus_capreolus,24500,1642,1475,1.8
Odocoileus_virginianus,54650,3120,2960,1.8
Odocoileus_hemionus,62500,3990,3650,1.8
Dama_dama,40000,3910,3470,1
Axis_axis,51500,3600,3400,1
