"Sp_abb_name","Sp_full_name","Species_new_name_correct","Tribe_new_correct","SuperTribe","Sp_Tribe","MY_tree_presence","Speed","Sample","Species_old_name_correct","Taxonomic comment","Sampling comment","Color_HEX","Color_RGB"
"Al","Arabidopsis_lyrata","Arabidopsis_lyrata","Arabidopsideae trib. nov.","Camelinodae_(I)","Camelineae","inside_MY_tree","Medium","S1082","Arabidopsis_lyrata",NA,NA,"#de70a8","222, 112, 168"
"At","Arabidopsis_thaliana","Arabidopsis_thaliana","Arabidopsideae trib. nov.","Camelinodae_(I)","Camelineae","inside_MY_tree","Fast","S1211","Arabidopsis_thaliana",NA,NA,"#de70a8","222, 112, 168"
"Cas","Camelina_sativa","Camelina_sativa","Camelineae I","Camelinodae_(I)","Camelineae","inside_MY_tree","Medium","S1204","Camelina_sativa",NA,NA,"#de70a8","222, 112, 168"
"Tg","Turritis_glabra","Turritis_glabra","Turritideae","Camelinodae_(I)","Turritideae","inside_MY_tree","Medium","SRR8528357","Arabis_glabra","Formerly Arabis glabra","Data previously published by Nikolov et al. (2019)","#de70a8","222, 112, 168"
"Ec","Erysium_cheirantoides","Erysimum_cheiranthoides","Erysimeae","Camelinodae_(I)","Erysimae","inside_MY_tree","Fast","S0055","Erysimum_cheiranthoides",NA,NA,"#de70a8","222, 112, 168"
"Mm","Malcomia_maritima","Malcolmia_maritima","Malcolmieae","Camelinodae_(I)","Malcolmieae","inside_MY_tree","Fast","S1375","Malcolmia_maritima",NA,NA,"#de70a8","222, 112, 168"
"Ds","Descurainia_sophiades","Descurainia_sophia","Descurainieae","Camelinodae_(I)","Descurainieae","inside_MY_tree","Medium","S1407","Descurainia_sophia",NA,NA,"#de70a8","222, 112, 168"
"Lr","Lepidium_ruderale","Lepidium_ruderale","Lepidieae","Camelinodae_(I)","Lepidieae","inside_MY_tree","Fast","S0561","Lepidium_ruderale",NA,NA,"#de70a8","222, 112, 168"
"Bv","Barbarea_vulgaris","Barbarea_vulgaris","Cardamineae","Camelinodae_(I)","Cardamineae","inside_MY_tree","Fast","S1625","Barbarea_vulgaris",NA,NA,"#de70a8","222, 112, 168"
"Bi","Berteroa_incana","Berteroa_incana","Alysseae","Arabodae_(IV)","Alysseae","inside_MY_tree","Fast","S1315","Berteroa_incana",NA,NA,"#9474e1","148, 116, 225"
"Es","Euclydium_syriacum","Euclidium_syriacum","Euclidieae","Hesperodae_(III)","Euclidieae","inside_MY_tree","Fast","S0320","Euclidium_syriacum",NA,NA,"#5ab2eb","90, 178, 235"
"Br","Brassica_rapa","Brassica_rapa","Brassiceae","Brassicodae_(II)","Brassiceae","inside_MY_tree","Medium","S0548","Brassica_rapa",NA,NA,"#10a072","16, 160, 114"
"Bo_M","Brassica_oleraceae_Rivera_Medium","Brassica_oleracea","Brassiceae","Brassicodae_(II)","Brassiceae","inside_MY_tree","Medium","S1208","Brassica_oleracea","Wild origin (Great Britain, 15.5 km SSW Poole, isle of Purbeck)",NA,"#10a072","16, 160, 114"
"Hi","Hirschfeldia_incana","Hirschfeldia_incana","Brassiceae","Brassicodae_(II)","Brassiceae","inside_MY_tree","Slow","S0590","Hirschfeldia_incana",NA,NA,"#10a072","16, 160, 114"
"Sar","Sinapis_arvensis","Mutarda_arvensis","Brassiceae","Brassicodae_(II)","Brassiceae","inside_MY_tree","Slow","S1509","Sinapis_arvensis","Formerly Sinapis arvensis",NA,"#10a072","16, 160, 114"
"Dt","Diplotaxis_tenuifolia","Diplotaxis_tenuifolia","Brassiceae","Brassicodae_(II)","Brassiceae","inside_MY_tree","Slow","23Q06","Diplotaxis_tenuifolia",NA,"Data unpublished and from collaboration with Elena Castillo-Lorenzo of Kew Gardens; I will ask her permission to use this data","#10a072","16, 160, 114"
"Bn","Brassica_nigra","Mutarda_nigra","Brassiceae","Brassicodae_(II)","Brassiceae","inside_MY_tree","Medium","23R10","Brassica_nigra","Formerly Brassica nigra","Data unpublished and from collaboration with Elena Castillo-Lorenzo of Kew Gardens; I will ask her permission to use this data","#10a072","16, 160, 114"
"It","Isatis_tinctoria","Isatis_tinctoria","Isatideae","Brassicodae_(II)","Isatidae","inside_MY_tree","Slow","SRR8528380","Isatis_tinctoria",NA,"Data previously published by Nikolov et al. (2019)","#10a072","16, 160, 114"
"Si","Sysimbrium_irio","Sisymbrium_irio","Sisymbrieae","Brassicodae_(II)","Sisymbrieae","inside_MY_tree","Medium","SRR11470313","Sisymbrium_irio",NA,"Data previously published by Nikolov et al. (2019)","#10a072","16, 160, 114"
"Co","Cochlearia_officinalis","Cochlearia_officinalis","Cochlearieae","Unplaced","Cochlearieae","inside_MY_tree","Slow","SRR8528373","Cochlearia_officinalis",NA,"Data previously published by Nikolov et al. (2019)","#e99c00","233, 156, 0"
"Lm","Lobularia_maritima","Lobularia_maritima","Anastaticeae","Heliophilodae_(V)","Anastaticeae","inside_MY_tree","Fast","S0555","Lobularia_maritima",NA,NA,"#e05a00","224, 90, 0"
"Ia","Iberis_amara","Iberis_amara","Iberideae","Heliophilodae_(V)","Iberideae","inside_MY_tree","Slow","S1897","Iberis_amara",NA,NA,"#e05a00","224, 90, 0"
